,Date,Open,High,Low,Close,Adj Close,Volume,dias_da_semana,dia_ou_noite
296,2003-03-07,52.549999,55.389998999999996,52.52,55.299999,33.850121,13278900,4,noite
297,2003-03-10,54.549999,55.200001,53.950001,54.130001,33.133938,7114000,0,noite
298,2003-03-11,54.509997999999996,54.98,53.959998999999996,54.48,33.348175,7362500,1,noite
299,2003-03-12,54.5,54.799999,54.09,54.68,33.470603999999994,8918100,2,noite
300,2003-03-13,54.68,55.599998,54.23,55.48,33.960297,9637200,3,noite
301,2003-03-14,55.66,55.880001,54.799999,55.189999,33.782787,7588000,4,noite
302,2003-03-17,54.450001,56.5,54.400002,56.389998999999996,34.517311,8218600,0,noite
303,2003-03-18,56.389998999999996,56.91,56.080002,56.779999,34.756054,7218700,1,noite
304,2003-03-19,56.84,57.450001,56.009997999999996,57.310001,35.080463,6828100,2,noite
305,2003-03-20,57.169998,57.5,56.5,57.389998999999996,35.129433,5865900,3,noite
306,2003-03-21,58.18,58.68,57.380001,58.669998,35.912952000000004,8689200,4,noite
